vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp
20180126;0948;E   ;016366027    ;0001;0000
20180126;0948;E   ;016366027    ;0001;0000
20180129;1524;H   ;016366027    ;0001;0000
20180129;1524;H   ;016366027    ;0001;0000
20180202;1517;E   ;016366027    ;0001;0000
20180202;1517;E   ;016366027    ;0001;0000
20180202;1517;E   ;016366027    ;0001;0000
20180206;1153;T   ;016366027    ;0001;0000
20180206;1153;T   ;016366027    ;0001;0000
20180212;1601;E   ;016366027    ;0002;0000
20180219;1043;H   ;016366027    ;0001;0000
20180219;1043;H   ;016366027    ;0001;0000
20180224;0920;X   ;016366027    ;0004;0000
20180305;0944;X   ;016366027    ;0001;0000
20180305;0944;X   ;016366027    ;0001;0000
20180308;1109;E   ;016366027    ;0001;0000
20180308;1109;E   ;016366027    ;0001;0000
20180309;1002;E   ;016366027    ;0001;0000
20180309;1002;E   ;016366027    ;0001;0000
20180313;1541;X   ;016366027    ;0001;0000
20180313;1541;X   ;016366027    ;0001;0000
20180313;1541;X   ;016366027    ;0001;0000
20180316;1140;H   ;016366027    ;0001;0000
20180316;1140;H   ;016366027    ;0001;0000
20180317;1112;X   ;016366027    ;0001;0000
20180317;1112;X   ;016366027    ;0001;0000
20180317;1112;X   ;016366027    ;0001;0000
20180317;1112;X   ;016366027    ;0001;0000
20180317;1112;X   ;016366027    ;0001;0000
20180317;1112;X   ;016366027    ;0001;0000
20180320;1558;E   ;016366027    ;0001;0000
20180320;1558;E   ;016366027    ;0001;0000
20180322;1542;L   ;016366027    ;0001;0000
20180327;1057;E   ;016366027    ;0001;0000
20180327;1057;E   ;016366027    ;0001;0000
20180403;0957;H   ;016366027    ;0001;0000
20180403;0957;H   ;016366027    ;0001;0000
20180409;1514;H   ;016366027    ;0001;0000
20180409;1514;H   ;016366027    ;0001;0000
20180412;0957;H   ;016366027    ;0001;0000
20180412;0957;H   ;016366027    ;0001;0000
20180412;1100;X   ;016366027    ;0001;0000
20180412;1100;X   ;016366027    ;0001;0000
20180416;1106;H   ;016366027    ;0001;0000
20180419;1043;X   ;016366027    ;0001;0000
20180419;1043;X   ;016366027    ;0001;0000
20180502;0842;T   ;016366027    ;0001;0000
20180502;0842;T   ;016366027    ;0001;0000
20180503;1727;E   ;016366027    ;0001;0000
20180503;1727;E   ;016366027    ;0001;0000
20180508;1035;T   ;016366027    ;0001;0000
20180508;1035;T   ;016366027    ;0001;0000
20180510;0919;X   ;016366027    ;0004;0000
20180510;1149;X   ;016366027    ;0001;0000
20180510;1149;X   ;016366027    ;0001;0000
20180511;0930;X   ;016366027    ;0001;0000
20180511;0930;X   ;016366027    ;0001;0000
20180511;0930;X   ;016366027    ;0001;0000
20180511;0953;X   ;016366027    ;0001;0000
20180511;0953;X   ;016366027    ;0001;0000
20180511;0953;X   ;016366027    ;0001;0000
20180511;0953;X   ;016366027    ;0001;0000
20180511;0953;X   ;016366027    ;0001;0000
20180511;0953;X   ;016366027    ;0001;0000
20180511;1052;L   ;016366027    ;0001;0000
20180512;0951;H   ;016366027    ;0001;0000
20180512;0951;H   ;016366027    ;0001;0000
20180512;0951;H   ;016366027    ;0001;0000
20180512;0951;H   ;016366027    ;0001;0000
20180515;1043;T   ;016366027    ;0001;0000
20180518;0842;E   ;016366027    ;0002;0000
20180518;1024;E   ;016366027    ;0002;0000
20180529;0842;T   ;016366027    ;0001;0000
20180529;0842;T   ;016366027    ;0001;0000
20180529;0956;E   ;016366027    ;0001;0000
20180529;0956;E   ;016366027    ;0001;0000
20180604;0823;T   ;016366027    ;0001;0000
20180604;0823;T   ;016366027    ;0001;0000
20180606;0828;X   ;016366027    ;0001;0000
20180606;1035;E   ;016366027    ;0001;0000
20180606;1035;E   ;016366027    ;0001;0000
20180611;1831;H   ;016366027    ;0001;0000
20180611;1831;H   ;016366027    ;0001;0000
20180611;1831;H   ;016366027    ;0001;0000
20180611;1831;H   ;016366027    ;0001;0000
20180613;1625;X   ;016366027    ;0001;0000
20180613;1625;X   ;016366027    ;0001;0000
20180613;1625;X   ;016366027    ;0001;0000
20180614;1022;X   ;016366027    ;0001;0000
20180614;1022;X   ;016366027    ;0001;0000
20180618;1537;H   ;016366027    ;0001;0000
20180618;1537;H   ;016366027    ;0001;0000
20180620;1851;H   ;016366027    ;0002;0000
20180622;0859;T   ;016366027    ;0001;0000
20180622;0859;T   ;016366027    ;0001;0000
20180630;1757;X   ;016366027    ;0001;0000
20180630;1757;X   ;016366027    ;0001;0000
20180630;1757;X   ;016366027    ;0001;0000
20180709;1220;T   ;016366027    ;0001;0000
20180709;1220;T   ;016366027    ;0001;0000
20180710;0819;X   ;016366027    ;0001;0000
20180710;0819;X   ;016366027    ;0001;0000
20180710;0819;X   ;016366027    ;0001;0000
20180710;0819;X   ;016366027    ;0001;0000
20180713;1539;X   ;016366027    ;0002;0000
20180713;1612;E   ;016366027    ;0001;0000
20180713;1612;E   ;016366027    ;0001;0000
20180720;1132;E   ;016366027    ;0001;0000
20180720;1132;E   ;016366027    ;0001;0000
20180724;1608;H   ;016366027    ;0001;0000
20180724;1608;H   ;016366027    ;0001;0000
20180728;1116;L   ;016366027    ;0001;0000
20180806;1516;X   ;016366027    ;0001;0000
20180806;1516;X   ;016366027    ;0001;0000
20180806;1808;T   ;016366027    ;0001;0000
20180811;1043;X   ;016366027    ;0001;0000
20180811;1043;X   ;016366027    ;0001;0000
20180811;1043;X   ;016366027    ;0001;0000
20180813;0934;X   ;016366027    ;0001;0000
20180813;0934;X   ;016366027    ;0001;0000
20180813;0934;X   ;016366027    ;0001;0000
20180813;1703;L   ;016366027    ;0001;0000
20180816;1844;X   ;016366027    ;0001;0000
20180816;1844;X   ;016366027    ;0001;0000
20180816;1844;X   ;016366027    ;0001;0000
20180817;1029;T   ;016366027    ;0001;0000
20180817;1029;T   ;016366027    ;0001;0000
20180820;1155;H   ;016366027    ;0002;0000
20180822;1811;E   ;016366027    ;0001;0000
20180822;1811;E   ;016366027    ;0001;0000
20180828;1642;X   ;016366027    ;0001;0000
20180828;1642;X   ;016366027    ;0001;0000
20180829;1015;H   ;016366027    ;0001;0000
20180829;1015;H   ;016366027    ;0001;0000
20180829;1015;H   ;016366027    ;0001;0000
20180829;1015;H   ;016366027    ;0001;0000
20180831;1145;X   ;016366027    ;0001;0000
20180903;1531;H   ;016366027    ;0001;0000
20180903;1531;H   ;016366027    ;0001;0000
20180905;0917;H   ;016366027    ;0001;0000
20180905;0917;H   ;016366027    ;0001;0000
20180912;0920;X   ;016366027    ;0001;0000
20180912;0920;X   ;016366027    ;0001;0000
20180912;0920;X   ;016366027    ;0001;0000
20180912;0920;X   ;016366027    ;0001;0000
20180912;0920;X   ;016366027    ;0001;0000
20180912;0920;X   ;016366027    ;0001;0000
20180927;1459;X   ;016366027    ;0001;0000
20180927;1459;X   ;016366027    ;0001;0000
20180927;1459;X   ;016366027    ;0001;0000
20180927;1459;X   ;016366027    ;0001;0000
20180927;1459;X   ;016366027    ;0001;0000
20180927;1459;X   ;016366027    ;0001;0000
20180928;0942;X   ;016366027    ;0001;0000
20180928;0942;X   ;016366027    ;0001;0000
20181001;1647;E   ;016366027    ;0001;0000
20181001;1647;E   ;016366027    ;0001;0000
20181002;0857;E   ;016366027    ;0001;0000
20181002;0857;E   ;016366027    ;0001;0000
20181017;1045;T   ;016366027    ;0001;0000
20181017;1045;T   ;016366027    ;0001;0000
20181018;1848;X   ;016366027    ;0001;0000
20181018;1848;X   ;016366027    ;0001;0000
20181018;1848;X   ;016366027    ;0001;0000
20181019;0854;E   ;016366027    ;0001;0000
20181019;0854;E   ;016366027    ;0001;0000
20181026;0955;H   ;016366027    ;0001;0000
20181026;0955;H   ;016366027    ;0001;0000
20181026;1051;X   ;016366027    ;0001;0000
20181029;0851;H   ;016366027    ;0001;0000
